AGname type minEnergy maxEnergy nLines nSeqs
1WEJ_F Mascotte -76.55 -73.24 69529 42217
1WEJ_F Loosers -73.23 -70.41 347171 170886
1WEJ_F NonBinders -73.23 -37.21 500000 450957
1YJD_C SuperHeroes -101.15 -94.99 704 563
1YJD_C Heroes -94.98 -92.32 6547 4184
1YJD_C Mascotte -92.31 -88.09 68944 47410
1YJD_C Loosers -88.08 -84.52 334688 219065
1YJD_C NonBinders -88.08 -48.34 500000 450370
1ZTX_E SuperHeroes -114.47 -105.66 828 705
1ZTX_E Heroes -105.65 -101.68 7655 6053
1ZTX_E Mascotte -101.67 -96.7 83544 58586
1ZTX_E Loosers -96.69 -92.26 415454 263553
1ZTX_E NonBinders -96.69 -51.9 500000 450319
2ARJ_RQ SuperHeroes -121.64 -116.23 704 207
2ARJ_RQ Heroes -116.22 -112.07 6531 2731
2ARJ_RQ Mascotte -112.06 -105.82 71019 38475
2ARJ_RQ Loosers -105.81 -101.22 348891 167502
2ARJ_RQ NonBinders -105.81 -59.18 500000 450892
2B2X_A SuperHeroes -105.66 -101.1 723 444
2B2X_A Heroes -101.09 -96.24 7073 5388
2B2X_A Mascotte -96.23 -91.71 77615 50039
2B2X_A Loosers -91.7 -87.7 387704 249140
2B2X_A NonBinders -91.7 -49.63 500000 449346
2FD6_AU SuperHeroes -135.58 -124.64 833 577
2FD6_AU Heroes -124.63 -120.18 8158 5614
2FD6_AU Mascotte -120.17 -114.58 91182 64007
2FD6_AU Loosers -114.57 -109.84 459056 295447
2FD6_AU NonBinders -114.57 -65.27 500000 450694
2HFG_R SuperHeroes -79.83 -75.41 733 630
2HFG_R Heroes -75.4 -72.57 6542 5528
2HFG_R Mascotte -72.56 -68.76 67717 50971
2HFG_R Loosers -68.75 -65.35 331847 207700
2HFG_R NonBinders -68.75 -35.71 500000 450252
2IH3_C SuperHeroes -113.04 -106.05 861 414
2IH3_C Heroes -106.04 -102.62 7687 4570
2IH3_C Mascotte -102.61 -97.78 84363 53133
2IH3_C Loosers -97.77 -93.47 403814 248150
2IH3_C NonBinders -97.77 -56.19 500000 449151
2JEL_P SuperHeroes -86.05 -79.53 703 418
2JEL_P Heroes -79.52 -75.82 6501 3800
2JEL_P Mascotte -75.81 -71.41 72434 49654
2JEL_P Loosers -71.4 -67.84 359775 245536
2JEL_P NonBinders -71.4 -38.63 500000 450845
2Q8A_A SuperHeroes -120.65 -111.41 726 271
2Q8A_A Heroes -111.4 -106.67 7173 3614
2Q8A_A Mascotte -106.66 -100.94 79666 44618
2Q8A_A Loosers -100.93 -96.4 406782 218728
2Q8A_A NonBinders -100.93 -58.15 500000 450992
2R29_A SuperHeroes -108.24 -99.92 702 493
2R29_A Heroes -99.91 -95.83 6339 3754
2R29_A Mascotte -95.82 -90.43 67024 43665
2R29_A Loosers -90.425 -86.38 324167 203380
2R29_A NonBinders -90.42 -50.75 500000 450052
2R4R_A SuperHeroes -125.64 -118.62 757 585
2R4R_A Heroes -118.61 -114.76 7105 5558
2R4R_A Mascotte -114.75 -110.01 80506 56507
2R4R_A Loosers -110 -105.5 421226 274168
2R4R_A NonBinders -110 -65.31 500000 449451
2R56_A SuperHeroes -105.81 -100.3 717 407
2R56_A Heroes -100.29 -96.57 6340 3736
2R56_A Mascotte -96.56 -91.93 66680 34868
2R56_A Loosers -91.92 -87.48 336395 192289
2R56_A NonBinders -91.92 -51.48 500000 451058
2UZI_R SuperHeroes -116.21 -110.94 706 352
2UZI_R Heroes -110.93 -106.77 6307 3315
2UZI_R Mascotte -106.76 -101.68 64892 32327
2UZI_R Loosers -101.67 -97.21 307601 147290
2UZI_R NonBinders -101.67 -51.73 500000 450393
2VXQ_A SuperHeroes -100.34 -94.33 745 469
2VXQ_A Heroes -94.32 -91.32 7111 3855
2VXQ_A Mascotte -91.31 -87.38 76375 40412
2VXQ_A Loosers -87.37 -83.78 389473 212372
2VXQ_A NonBinders -87.37 -48.44 500000 450971
2VXT_I SuperHeroes -111.56 -103.09 826 362
2VXT_I Heroes -103.08 -99.73 6498 3086
2VXT_I Mascotte -99.72 -94.52 71271 30782
2VXT_I Loosers -94.51 -88.84 346501 186765
2VXT_I NonBinders -94.51 -48.96 500000 450381
2W9E_A SuperHeroes -110.52 -102.73 727 509
2W9E_A Heroes -102.72 -99.05 6700 4989
2W9E_A Mascotte -99.04 -94.88 71355 46867
2W9E_A Loosers -94.87 -91.15 352703 214125
2W9E_A NonBinders -94.87 -47.77 500000 450855
2WUC_I SuperHeroes -111.22 -104.43 897 585
2WUC_I Heroes -104.42 -100.59 9893 6347
2WUC_I Mascotte -100.58 -95.7 101726 63883
2WUC_I Loosers -95.69 -91.28 496526 287952
2WUC_I NonBinders -95.69 -49.96 500000 449968
2XQB_A SuperHeroes -105.05 -96.79 724 634
2XQB_A Heroes -96.78 -93.61 6773 4753
2XQB_A Mascotte -93.6 -88.99 70648 50488
2XQB_A Loosers -88.98 -85.23 349403 216352
2XQB_A NonBinders -88.98 -48.25 500000 450991
2XWT_C SuperHeroes -129.96 -122.99 720 569
2XWT_C Heroes -122.98 -119.2 6885 4552
2XWT_C Mascotte -119.19 -114.22 73535 49108
2XWT_C Loosers -114.21 -109.72 390878 250739
2XWT_C NonBinders -114.21 -67.25 500000 450390
2YC1_C SuperHeroes -106.81 -99.61 738 456
2YC1_C Heroes -99.6 -96.01 7009 5023
2YC1_C Mascotte -96 -91.66 76040 48149
2YC1_C Loosers -91.65 -87.81 378053 229616
2YC1_C NonBinders -91.65 -47.83 500000 450635
2YPV_A SuperHeroes -114.47 -103.86 710 496
2YPV_A Heroes -103.85 -99.92 6394 4840
2YPV_A Mascotte -99.91 -95.18 66069 45889
2YPV_A Loosers -95.17 -91.16 312194 193704
2YPV_A NonBinders -95.17 -53.62 500000 449459
2ZCH_P SuperHeroes -110.98 -105.6 717 508
2ZCH_P Heroes -105.59 -102.04 6934 4871
2ZCH_P Mascotte -102.03 -97.6 75439 50781
2ZCH_P Loosers -97.59 -93.71 377689 240805
2ZCH_P NonBinders -97.59 -56.94 500000 450986
3BGF_S SuperHeroes -117.46 -109.45 831 630
3BGF_S Heroes -109.44 -106.12 8276 5113
3BGF_S Mascotte -106.11 -100.99 86504 58779
3BGF_S Loosers -100.98 -96.62 410627 274550
3BGF_S NonBinders -100.98 -57.46 500000 450489
3BN9_A SuperHeroes -118.01 -111.75 754 533
3BN9_A Heroes -111.74 -108.54 6757 3726
3BN9_A Mascotte -108.53 -103.98 69038 40623
3BN9_A Loosers -103.97 -99.64 341251 214724
3BN9_A NonBinders -103.97 -59.12 500000 450969
3CVH_ABC SuperHeroes -118.91 -109.15 772 716
3CVH_ABC Heroes -109.14 -105.47 6942 5332
3CVH_ABC Mascotte -105.46 -101.1 72535 43769
3CVH_ABC Loosers -101.09 -97.04 362929 191519
3CVH_ABC NonBinders -101.09 -56.83 500000 450176
3DVG_XY SuperHeroes -121.38 -115.64 739 421
3DVG_XY Heroes -115.63 -111.17 6927 4472
3DVG_XY Mascotte -111.16 -105.79 74855 46982
3DVG_XY Loosers -105.78 -101.29 372167 217007
3DVG_XY NonBinders -105.78 -56.4 500000 450641
3EFD_K SuperHeroes -72.53 -66.09 720 690
3EFD_K Heroes -66.08 -63.01 6866 6258
3EFD_K Mascotte -63 -59.58 75929 58613
3EFD_K Loosers -59.575 -56.76 380828 242716
3EFD_K NonBinders -59.57 -32.38 500000 449940
3GI9_C SuperHeroes -148.78 -138.09 977 577
3GI9_C Heroes -138.08 -132.38 9197 5470
3GI9_C Mascotte -132.37 -125.24 98073 63977
3GI9_C Loosers -125.23 -119.57 472828 278002
3GI9_C NonBinders -125.23 -72.52 500000 448979
3HI6_A SuperHeroes -125.91 -116.2 727 661
3HI6_A Heroes -116.19 -112.11 6942 5556
3HI6_A Mascotte -112.1 -107.21 80034 54455
3HI6_A Loosers -107.2 -102.98 408896 245460
3HI6_A NonBinders -107.2 -62.39 500000 450626
3JBQ_B SuperHeroes -124.83 -117.02 711 323
3JBQ_B Heroes -117.01 -113.45 6438 2438
3JBQ_B Mascotte -113.44 -107.87 66497 28959
3JBQ_B Loosers -107.86 -102.57 330291 169454
3JBQ_B NonBinders -107.86 -61.21 500000 450437
3KJ4_A SuperHeroes -119.48 -112.55 720 382
3KJ4_A Heroes -112.54 -108.4 6612 4878
3KJ4_A Mascotte -108.39 -104 73989 45318
3KJ4_A Loosers -103.995 -99.69 380330 237174
3KJ4_A NonBinders -103.99 -59.34 500000 450635
3KR3_D SuperHeroes -86.65 -81.42 706 591
3KR3_D Heroes -81.41 -78.41 6413 5655
3KR3_D Mascotte -78.4 -74.4 67613 51672
3KR3_D Loosers -74.395 -70.62 342465 249654
3KR3_D NonBinders -74.39 -39.43 500000 450597
3KS0_J SuperHeroes -112 -106.58 743 281
3KS0_J Heroes -106.57 -101.7 7292 4578
3KS0_J Mascotte -101.69 -96.59 81777 52700
3KS0_J Loosers -96.58 -92.1 419902 261448
3KS0_J NonBinders -96.58 -53.02 500000 450782
3L5X_A SuperHeroes -97.5 -93.19 708 471
3L5X_A Heroes -93.18 -89.44 6605 4461
3L5X_A Mascotte -89.43 -85.18 64603 41292
3L5X_A Loosers -85.17 -81.35 303691 187343
3L5X_A NonBinders -85.16 -46.61 500000 449080
3L95_X SuperHeroes -122.97 -113.92 761 411
3L95_X Heroes -113.91 -109.36 7108 4929
3L95_X Mascotte -109.35 -104.04 73723 53352
3L95_X Loosers -104.03 -99.76 351701 242313
3L95_X NonBinders -104.03 -56.39 500000 448833
3MJ9_A SuperHeroes -115.38 -107.79 838 696
3MJ9_A Heroes -107.78 -103.58 8203 5347
3MJ9_A Mascotte -103.57 -97.76 90670 56932
3MJ9_A Loosers -97.75 -92.88 450274 265471
3MJ9_A NonBinders -97.75 -51.4 500000 449492
3NCY_A SuperHeroes -159.79 -149.32 764 576
3NCY_A Heroes -149.31 -144.59 7564 5070
3NCY_A Mascotte -144.58 -138.29 86258 57842
3NCY_A Loosers -138.28 -132.83 433469 273519
3NCY_A NonBinders -138.28 -83.53 500000 450900
3NFP_I SuperHeroes -120.2 -114.87 739 274
3NFP_I Heroes -114.86 -110.5 6735 3600
3NFP_I Mascotte -110.49 -104.87 73584 45477
3NFP_I Loosers -104.86 -100.08 397023 239954
3NFP_I NonBinders -104.86 -60.99 500000 450397
3NH7_A SuperHeroes -99.51 -93.7 712 585
3NH7_A Heroes -93.69 -90.55 6443 4803
3NH7_A Mascotte -90.54 -86.82 66477 41071
3NH7_A Loosers -86.81 -83.2 313407 188421
3NH7_A NonBinders -86.81 -46.15 500000 449952
3Q3G_E SuperHeroes -114.4 -109.44 719 375
3Q3G_E Heroes -109.42 -105.63 7320 4270
3Q3G_E Mascotte -105.62 -100.8 77343 48051
3Q3G_E Loosers -100.79 -96.62 383286 210194
3Q3G_E NonBinders -100.79 -54.13 500000 450851
3R08_E SuperHeroes -100.84 -95.2 730 364
3R08_E Heroes -95.19 -91.36 6826 3363
3R08_E Mascotte -91.35 -86.5 71793 39524
3R08_E Loosers -86.49 -82.64 347822 181549
3R08_E NonBinders -86.49 -41.89 500000 450491
3R1G_B SuperHeroes -142.62 -131.37 701 413
3R1G_B Heroes -131.36 -127.26 6645 3426
3R1G_B Mascotte -127.25 -121.65 71098 37199
3R1G_B Loosers -121.64 -116.82 335877 171974
3R1G_B NonBinders -121.64 -68.04 500000 450716
3RAJ_A SuperHeroes -116.74 -107.95 777 675
3RAJ_A Heroes -107.94 -104.5 7245 5574
3RAJ_A Mascotte -104.49 -100.3 75736 51796
3RAJ_A Loosers -100.29 -96.49 379803 238623
3RAJ_A NonBinders -100.29 -53.97 500000 450668
3RKD_A SuperHeroes -102.61 -96.02 780 692
3RKD_A Heroes -96.01 -91.73 7407 5234
3RKD_A Mascotte -91.72 -86.44 77842 47949
3RKD_A Loosers -86.43 -81.61 380949 235448
3RKD_A NonBinders -86.43 -43.54 500000 450246
3RVV_A SuperHeroes -121.96 -111.13 691 470
3RVV_A Heroes -111.12 -106.55 6338 4081
3RVV_A Mascotte -106.54 -101 67465 42625
3RVV_A Loosers -100.99 -96.13 318170 198528
3RVV_A NonBinders -100.99 -53.62 500000 450548
3SKJ_E SuperHeroes -114.77 -108.74 693 669
3SKJ_E Heroes -108.73 -104.93 6385 4529
3SKJ_E Mascotte -104.92 -99.42 68693 46815
3SKJ_E Loosers -99.41 -94.68 350334 232215
3SKJ_E NonBinders -99.41 -55.73 500000 450825
3SQO_A SuperHeroes -122.89 -116.17 835 314
3SQO_A Heroes -116.16 -111.91 6404 3546
3SQO_A Mascotte -111.9 -106.73 71096 36541
3SQO_A Loosers -106.72 -101.88 350498 178290
3SQO_A NonBinders -106.72 -56.89 500000 450234
3TT1_A SuperHeroes -152.77 -144.28 747 382
3TT1_A Heroes -144.26 -139.33 7026 3690
3TT1_A Mascotte -139.32 -133.1 78724 42401
3TT1_A Loosers -133.09 -127.38 413824 248493
3TT1_A NonBinders -133.09 -79.6 500000 450967
3U9P_C SuperHeroes -130.27 -121.59 850 750
3U9P_C Heroes -121.58 -117.99 7988 5364
3U9P_C Mascotte -117.98 -112.6 91130 58856
3U9P_C Loosers -112.59 -107.52 475433 297071
3U9P_C NonBinders -112.59 -63.43 500000 449638
3UBX_A SuperHeroes -124.71 -117.65 741 326
3UBX_A Heroes -117.64 -112.92 6644 3976
3UBX_A Mascotte -112.91 -107.35 71973 45567
3UBX_A Loosers -107.34 -102.92 341997 206341
3UBX_A NonBinders -107.34 -60.53 500000 450449
3V6O_A SuperHeroes -122.24 -116.33 776 205
3V6O_A Heroes -116.32 -112.68 6533 1930
3V6O_A Mascotte -112.67 -106.76 75618 38353
3V6O_A Loosers -106.75 -101.79 393090 232848
3V6O_A NonBinders -106.75 -57.46 500000 449708
3VG9_A SuperHeroes -144.95 -137.93 775 382
3VG9_A Heroes -137.92 -132.58 6920 4256
3VG9_A Mascotte -132.57 -126.11 76271 49115
3VG9_A Loosers -126.1 -120.88 388218 231978
3VG9_A NonBinders -126.1 -72.97 500000 450879
3VRL_C SuperHeroes -112.82 -106.04 766 545
3VRL_C Heroes -106.03 -101.84 6882 4753
3VRL_C Mascotte -101.83 -96.46 71723 48652
3VRL_C Loosers -96.45 -92.63 320741 172905
3VRL_C NonBinders -96.45 -48.76 500000 450356
3WD5_A SuperHeroes -122.29 -115.03 833 629
3WD5_A Heroes -115.02 -110.87 7414 5817
3WD5_A Mascotte -110.86 -105.5 80598 58472
3WD5_A Loosers -105.49 -101.04 405489 257511
3WD5_A NonBinders -105.49 -60.16 500000 450798
4AEI_A SuperHeroes -95.33 -84.43 704 515
4AEI_A Heroes -84.4 -78.63 6552 5070
4AEI_A Mascotte -78.62 -74.47 79408 58451
4AEI_A Loosers -74.465 -71.25 406708 288897
4AEI_A NonBinders -74.46 -42.34 500000 450541
4CAD_C SuperHeroes -150.27 -144.26 1009 272
4CAD_C Heroes -144.25 -139.62 6270 2292
4CAD_C Mascotte -139.61 -132.847 74635 35157
4CAD_C Loosers -132.84 -126.55 398187 233987
4CAD_C NonBinders -132.84 -78.24 500000 450917
4DKE_A SuperHeroes -137.11 -128.93 755 530
4DKE_A Heroes -128.92 -124.26 7783 5174
4DKE_A Mascotte -124.25 -118.19 88326 61513
4DKE_A Loosers -118.18 -113.01 429129 297574
4DKE_A NonBinders -118.18 -68.7 500000 450555
4H88_A SuperHeroes -118.76 -111.55 790 512
4H88_A Heroes -111.54 -107.36 7543 5094
4H88_A Mascotte -107.35 -102.13 84186 54487
4H88_A Loosers -102.12 -97.98 411869 234867
4H88_A NonBinders -102.12 -60.11 500000 450606
4HC1_B SuperHeroes -116.15 -110.3 705 498
4HC1_B Heroes -110.28 -106.59 6552 4261
4HC1_B Mascotte -106.58 -101.94 73537 44260
4HC1_B Loosers -101.93 -97.8 372730 214353
4HC1_B NonBinders -101.93 -59.03 500000 451146
4HJ0_B SuperHeroes -106.77 -98.84 745 643
4HJ0_B Heroes -98.83 -95.55 7161 5355
4HJ0_B Mascotte -95.54 -91.07 84674 53303
4HJ0_B Loosers -91.06 -86.5 449610 282314
4HJ0_B NonBinders -91.06 -48.53 500000 448616
4I18_R SuperHeroes -131.04 -123.7 734 525
4I18_R Heroes -123.69 -118.24 7726 5450
4I18_R Mascotte -118.23 -111.76 83810 58532
4I18_R Loosers -111.75 -106.66 408208 250107
4I18_R NonBinders -111.75 -63.09 500000 451221
4I77_Z SuperHeroes -109.19 -102.89 703 380
4I77_Z Heroes -102.88 -99.31 6419 3898
4I77_Z Mascotte -99.3 -94.59 67778 46299
4I77_Z Loosers -94.58 -90.88 321937 192289
4I77_Z NonBinders -94.58 -50.97 500000 450274
4K24_A SuperHeroes -96.8 -91.48 704 484
4K24_A Heroes -91.47 -88.21 6572 4542
4K24_A Mascotte -88.2 -84.3 66867 41140
4K24_A Loosers -84.29 -80.74 320940 189885
4K24_A NonBinders -84.29 -47.61 500000 450790
4K3J_A SuperHeroes -118.05 -110.07 752 623
4K3J_A Heroes -110.06 -107.15 7635 3651
4K3J_A Mascotte -107.14 -102.7 74535 40651
4K3J_A Loosers -102.69 -98.49 399297 230230
4K3J_A NonBinders -102.69 -55.85 500000 450100
4K9E_C SuperHeroes -134.11 -125.01 834 721
4K9E_C Heroes -125 -119.93 7470 5828
4K9E_C Mascotte -119.92 -113.93 81375 58895
4K9E_C Loosers -113.92 -108.96 401258 256259
4K9E_C NonBinders -113.92 -62.68 500000 450595
4KI5_M SuperHeroes -116.8 -108.31 716 567
4KI5_M Heroes -108.3 -104.73 6724 3909
4KI5_M Mascotte -104.72 -99.25 71094 46096
4KI5_M Loosers -99.24 -94.65 351495 231587
4KI5_M NonBinders -99.24 -54.77 500000 449145
4KXZ_A SuperHeroes -107.61 -100.16 762 383
4KXZ_A Heroes -100.15 -95.98 7111 4282
4KXZ_A Mascotte -95.97 -91.42 77400 44706
4KXZ_A Loosers -91.41 -87.23 400213 239053
4KXZ_A NonBinders -91.41 -45.96 500000 450124
4LU5_B SuperHeroes -108.44 -100.86 794 577
4LU5_B Heroes -100.85 -97.85 7035 4860
4LU5_B Mascotte -97.84 -93.54 75673 52360
4LU5_B Loosers -93.53 -89.57 360759 238921
4LU5_B NonBinders -93.53 -49.86 500000 450472
4MXV_B SuperHeroes -112.27 -107.06 710 240
4MXV_B Heroes -107.02 -101.35 6793 3774
4MXV_B Mascotte -101.34 -96.07 69538 40120
4MXV_B Loosers -96.06 -91.57 330626 199107
4MXV_B NonBinders -96.06 -49.41 500000 450168
4N9G_C SuperHeroes -62.3 -57.35 791 480
4N9G_C Heroes -57.34 -54.97 7862 5216
4N9G_C Mascotte -54.96 -52.29 85159 53888
4N9G_C Loosers -52.285 -50.02 425414 249534
4N9G_C NonBinders -52.28 -30.45 500000 450704
4NP4_A SuperHeroes -145.71 -134.29 724 634
4NP4_A Heroes -134.27 -129.28 7310 5505
4NP4_A Mascotte -129.27 -122.49 74519 53584
4NP4_A Loosers -122.48 -117.1 351498 201713
4NP4_A NonBinders -122.48 -66.06 500000 451146
4OII_A SuperHeroes -139.4 -129.3 791 501
4OII_A Heroes -129.29 -124.82 7287 4088
4OII_A Mascotte -124.81 -118.82 84998 45647
4OII_A Loosers -118.81 -113.09 427404 250659
4OII_A NonBinders -118.81 -62.94 500000 448540
4OKV_E SuperHeroes -76.94 -72.82 787 441
4OKV_E Heroes -72.81 -70.13 8319 5719
4OKV_E Mascotte -70.12 -67.08 88915 63860
4OKV_E Loosers -67.075 -64.53 441983 298680
4OKV_E NonBinders -67.07 -40.29 500000 449811
4PP1_A SuperHeroes -98.31 -93.93 744 107
4PP1_A Heroes -93.89 -87.27 6312 3654
4PP1_A Mascotte -87.26 -82.58 68925 44042
4PP1_A Loosers -82.57 -78.63 328858 226429
4PP1_A NonBinders -82.57 -45.11 500000 449629
4QCI_D SuperHeroes -113.82 -107.82 757 429
4QCI_D Heroes -107.81 -103.92 7632 4584
4QCI_D Mascotte -103.91 -99.1 86034 54979
4QCI_D Loosers -99.09 -94.66 464808 297648
4QCI_D NonBinders -99.09 -56.42 500000 450787
4QEX_A SuperHeroes -118.85 -110.69 749 597
4QEX_A Heroes -110.68 -107.3 7150 4873
4QEX_A Mascotte -107.29 -102.65 76145 50855
4QEX_A Loosers -102.64 -98.29 372671 250605
4QEX_A NonBinders -102.64 -58.47 500000 450791
4QNP_A SuperHeroes -124.97 -114.43 849 602
4QNP_A Heroes -114.42 -110.18 8357 5224
4QNP_A Mascotte -110.17 -104.86 88504 52256
4QNP_A Loosers -104.85 -100.11 434595 254936
4QNP_A NonBinders -104.85 -59.02 500000 449149
4QWW_A SuperHeroes -141.2 -127.83 735 493
4QWW_A Heroes -127.825 -123.8 6953 3919
4QWW_A Mascotte -123.79 -117.6 79735 52629
4QWW_A Loosers -117.59 -112.37 424219 255811
4QWW_A NonBinders -117.59 -66.27 500000 450883
4R9Y_D SuperHeroes -113.53 -106.34 890 513
4R9Y_D Heroes -106.33 -102.99 8407 4097
4R9Y_D Mascotte -102.98 -98.52 89061 44240
4R9Y_D Loosers -98.51 -94.56 459389 216808
4R9Y_D NonBinders -98.51 -53.81 500000 447439
4RGM_S SuperHeroes -114.84 -102.72 756 580
4RGM_S Heroes -102.71 -98.79 6801 5210
4RGM_S Mascotte -98.78 -93.42 73376 53215
4RGM_S Loosers -93.415 -88.79 360128 261615
4RGM_S NonBinders -93.41 -52.3 500000 448897
4U1G_A SuperHeroes -145.1 -134.83 711 587
4U1G_A Heroes -134.82 -129.73 6496 4710
4U1G_A Mascotte -129.72 -124.09 67712 36927
4U1G_A Loosers -124.08 -119.19 326759 163711
4U1G_A NonBinders -124.08 -68.81 500000 450508
4U6V_A SuperHeroes -116.99 -105.04 810 531
4U6V_A Heroes -105.03 -101.08 7686 5693
4U6V_A Mascotte -101.07 -96.16 85172 61663
4U6V_A Loosers -96.155 -92.08 435829 284899
4U6V_A NonBinders -96.15 -55.32 500000 450592
4WV1_F SuperHeroes -108.68 -99.34 829 572
4WV1_F Heroes -99.33 -95.46 8626 5608
4WV1_F Mascotte -95.45 -90.47 90047 58810
4WV1_F Loosers -90.46 -86.29 424716 257957
4WV1_F NonBinders -90.46 -50.93 500000 450108
4Y5V_C SuperHeroes -137.78 -127.33 821 466
4Y5V_C Heroes -127.32 -123.59 7569 3290
4Y5V_C Mascotte -123.58 -117.79 85825 46245
4Y5V_C Loosers -117.78 -112.7 447401 249562
4Y5V_C NonBinders -117.78 -64.42 500000 449167
4YPG_C SuperHeroes -105.17 -98.24 703 339
4YPG_C Heroes -98.23 -93.91 6797 4354
4YPG_C Mascotte -93.9 -88.74 76049 49399
4YPG_C Loosers -88.73 -84.75 369830 231854
4YPG_C NonBinders -88.73 -50.73 500000 451177
4YUE_C SuperHeroes -106.64 -98.72 714 429
4YUE_C Heroes -98.71 -94.75 6548 3979
